servicio,cod_empresa,empresa,centro_poblado,numero_pqrs,latitude,longitude
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,LURUACO,8,10.6111248118,-75.1422887632
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,OVEJAS,8,9.52668815702,-75.2290829562
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,PURISIMA DE LA CONCEPCION,8,9.23929988718,-75.7248856036
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,MARTINEZ,8,8.87417695711,-75.7650577137
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,GUACAMAYAL,8,10.7503357783,-74.1586592648
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,CARACOLI,8,10.8594100933,-74.8337663112
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,CANDELARIA,8,10.4612089848,-74.8799120495
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,PALOTAL,8,8.85633862244,-75.8979653533
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,JUAN ARIAS,8,9.3240216534,-74.9221260832
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,MARIANGOLA,7,10.1817109011,-73.5872601395
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,ORIHUECA,7,10.8389105887,-74.1685341817
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,CAZACARA,7,9.83181719608,-73.2616546649
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,GUARANDA,7,8.464847043,-74.538345419
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,ALGARROBAL,7,9.12876765287,-74.0450801899
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,VALENCIA DE JESUS,7,10.3015563726,-73.3945883842
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,ASTREA,7,9.49816273938,-73.9758629785
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,LA PE?A,7,10.582895985,-75.02411422
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,MAJAGUAL,7,8.54071408117,-74.6281041912
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,SAN JOSE DEL ORIENTE,6,10.350398524,-73.043417529
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,HENEQUEN,6,9.27192947129,-74.8311293289
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,VILLANUEVA,6,10.4443304246,-75.2751686679
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,URIBIA,6,11.7146470766,-72.2647599261
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,SAN ESTANISLAO DE KOSTKA,6,10.3984770306,-75.1532584252
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,MOLINERO,6,10.6552514337,-75.0424664619
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,MATEO GOMEZ,6,8.84616216476,-75.8292664357
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,SANTA LUCIA,6,8.84511187531,-76.0376717935
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,BERASTEGUI,6,8.87700265874,-75.7081130949
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,ZAMBRANO,6,9.74628103898,-74.8180006807
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,CAMPECHE,6,10.7265367611,-74.9136998554
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,DIBULLA,6,11.2715687878,-73.3076206855
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,BETULIA,6,9.27306592979,-75.2435648458
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,MADRID,6,9.19409815411,-74.749643906
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,GRANADA,5,9.80154812175,-74.392235318
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,SIMITI,5,7.95442830168,-73.9467782481
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,PARAGUACHON,5,11.3610919856,-72.1342911104
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,SANTA BARBARA DE PINTO,5,9.4322584701,-74.7046839218
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,MAHATES,5,10.2332538997,-75.1913392756
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,NUEVA ESPERANZA,5,10.8909523235,-75.0455362813
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,URUMITA,5,10.5601686746,-73.0125081065
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,EL PE?ON,5,8.98822535038,-73.9494279539
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,PIOJO,5,10.7493431731,-75.1074681737
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,PROVIDENCIA,5,9.34970984247,-74.9514673
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,MARTILLO,5,10.6273797091,-74.8304819985
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,EL MOLINO,5,10.6535029819,-72.9267422648
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,SUCRE,5,8.81174045357,-74.7232228452
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,PATIO BONITO,4,8.60830940103,-75.744060153
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,BUENOS AIRES,4,10.5235931598,-74.1794491383
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,MALAGANA,4,10.1361143384,-75.2275518746
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,CASCAJAL,4,10.597859702,-74.8493036826
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,SANTA ANA,4,9.32429335632,-74.5668440377
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,CAIMITO,4,8.78932537693,-75.1171440547
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,DON DIEGO,4,11.2393277584,-73.6982432397
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,SANTA CATALINA,4,10.6050569813,-75.2877605206
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,PUERTO GIRALDO,4,10.5049581171,-74.8160130401
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,CUATRO VIENTOS,4,9.74066965238,-73.7093898681
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,SAN ANTERITO,4,8.5625137229,-75.8593734418
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,PUEBLO NUEVO,4,9.90523025584,-74.1024201853
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,RINCON HONDO,4,9.39521877642,-73.4894649063
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,SANTA ISABEL,4,8.54566177971,-75.9549420562
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,CARRILLO,4,8.987129786,-75.831796101
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,DISTRACCION,4,10.8984720802,-72.8873913777
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,SAN ANGEL,4,10.0325378237,-74.2139389889
